state,inf.mort,doctors
Alabama,9,218.1999969482422
Alaska,6.900000095367432,228.5
Arizona,6.400000095367432,209.6999969482422
Arkansas,8.5,203.39999389648438
California,5,268.70001220703125
Colorado,5.699999809265137,259.70001220703125
Connecticut,6.199999809265137,376.3999938964844
Delaware,8.300000190734863,250.89999389648438
District of Columbia,11.300000190734863,807.20001220703125
Florida,7.300000190734863,247.89999389648438
Georgia,8.100000381469727,217.39999389648438
Hawaii,5.599999904632568,317
Idaho,6.800000190734863,168.8000030517578
Illinois,7.300000190734863,280.20001220703125
Indiana,8,216.89999389648438
Iowa,5.099999904632568,189.3000030517578
Kansas,7.099999904632568,222.5
Kentucky,7.5,232.3000030517578
Louisiana,9.899999618530273,262.70001220703125
Maine,6.300000190734863,278.3999938964844
Maryland,8,421.3999938964844
Massachusetts,4.800000190734863,469
Michigan,7.400000095367432,250.1999969482422
Minnesota,5.199999809265137,293.20001220703125
Mississippi,10.600000381469727,177.89999389648438
Missouri,7.400000095367432,246
Montana,5.800000190734863,220.60000610351562
Nebraska,5.599999904632568,245.39999389648438
Nevada,6.400000095367432,187.8000030517578
New Hampshire,6.099999904632568,274.8999938964844
New Jersey,5.5,316.29998779296875
New Mexico,5.800000190734863,243.60000610351562
New York,5.599999904632568,395.8999938964844
North Carolina,8.100000381469727,254.1999969482422
North Dakota,5.800000190734863,244.39999389648438
Ohio,7.800000190734863,266.70001220703125
Oklahoma,8,173.5
Oregon,5.5,274.5
Pennsylvania,7.599999904632568,305.29998779296875
Rhode Island,6.099999904632568,375.5
South Carolina,8.399999618530273,229.8000030517578
South Dakota,6.900000095367432,219.10000610351562
Tennessee,8.699999809265137,263.6000061035156
Texas,6.199999809265137,214.1999969482422
Utah,5.099999904632568,208.10000610351562
Vermont,5.5,373.70001220703125
Virginia,7.099999904632568,274.5
Washington,4.699999809265137,270
West Virginia,7.400000095367432,232.10000610351562
Wisconsin,6.400000095367432,259.1000061035156
Wyoming,7,184.39999389648438
