abundance,patch.area,year.of.isolation,dist.nearest,dist.larger,grazing.intensity,altitude,yrs.isolation
5.3,0.1,1968,39,39,less than average,160,15
2,0.5,1920,234,234,heavy,60,63
1.5,0.5,1900,104,311,heavy,140,83
17.1,1,1966,66,66,average,160,17
13.8,1,1918,246,246,heavy,140,65
14.1,1,1965,234,285,average,130,18
3.8,1,1955,467,467,heavy,90,28
2.2,1,1920,284,1829,heavy,60,63
3.3,1,1965,156,156,moderately heavy,130,18
3,1,1900,311,571,heavy,130,83
27.6,2,1926,66,332,average,210,57
1.8,2,1890,93,93,heavy,160,93
21.2,2,1973,39,39,less than average,210,10
14.6,2,1972,402,402,light,210,11
8,2,1900,259,259,heavy,120,83
3.5,2,1900,130,623,heavy,145,83
29,3,1962,26,26,average,110,21
2.9,3,1965,26,26,average,140,18
24.3,4,1960,40,40,average,190,23
19.4,4,1953,259,259,less than average,90,30
24.4,4,1973,234,519,less than average,220,10
5,4,1923,26,2205,heavy,120,60
15.8,5,1965,39,39,average,130,18
25.3,5,1967,372,372,light,100,16
19.5,6,1890,93,226,average,170,93
20.9,6,1960,159,1009,average,150,23
16.3,7,1965,285,882,average,130,18
18.8,7,1960,133,133,moderately heavy,210,23
19.9,8,1973,266,266,moderately heavy,120,10
13,9,1910,350,1868,heavy,90,73
6.8,10,1962,337,519,average,110,21
21.7,11,1960,27,27,moderately heavy,175,23
27.8,12,1963,159,159,moderately heavy,110,20
26.8,12,1960,133,133,moderately heavy,200,23
16.6,13,1968,146,146,less than average,190,15
30.4,15,1966,146,398,average,120,17
11.5,17,1920,389,2595,heavy,100,63
26,18,1966,40,3188,less than average,190,17
25.7,19,1973,266,1302,moderately heavy,150,10
12.7,22,1918,311,2672,heavy,90,65
23.5,26,1963,597,597,light,140,20
24.9,29,1965,545,770,average,130,18
29,32,1974,208,208,light,190,9
28.3,34,1965,66,345,light,110,18
28.3,40,1962,285,178,less than average,120,21
32,44,1960,93,93,average,190,23
37.7,48,1928,259,1297,average,120,55
39.6,49,1972,1427,1557,light,180,11
29.6,50,1967,398,1461,light,140,16
31,57,1963,467,467,light,165,20
34.4,96,1976,39,519,less than average,175,7
27.3,108,1964,402,4426,light,70,19
30.5,134,1964,467,2213,light,160,19
33,144,1940,146,319,light,190,43
29.5,973,1970,337,1323,light,190,13
30.9,1771,1933,332,332,light,260,50
