cancer,A,B,C,D,E,F,G,H,I,J
allB,39307.96,35232.4009,41170.7599,35792.79,-592.671148,-1053.3868,-512.9319004,-537.296671,1702.0472,1119.5077000000001
allT,32281.88,41432.0243,59328.5088,49608.14,-123.053519,-511.33579,265.2287505,-271.710159,3566.73742,-489.14823
allB,47429.94,35568.9277,56074.9599,42857.78,-208.157269,-711.8142,31.6793659,-312.813255,432.86065,400.15565
allB,25533.87,16983.749,28056.7466,32693.92,88.888426,-533.72448,-23.5277924,194.819094,3355.44432,990.380027
allB,35960.55,24191.7463,27637.9044,22240.75,-273.748137,-632.34308,-488.4999095,20.01608,2258.70201,348.22162
aml,46177.95,6189.4654,12557.2433,34485.41,-331.45369,-776.39105,-550.8181548,-47.935467,4074.46088,-577.721344
aml,43790.7,33661.8253,38380.2964,29758.25,-46.899188,123.9995,1118.1296830000001,3425.261991,7018.30273,1132.718596
aml,53420.05,26109.2448,31427.204,23809.7,396.176393,108.20027,1040.3896562,1914.983821,4095.06976,-708.798673
aml,41241.59,37589.7733,47325.7668,30099.36,14.683149,-429.16038,783.7189695,-532.430906,1084.74156,-1912.300891
aml,41300.57,49198.4118,66026.0988,56248.62,-417.941837,-947.71413,-339.5355384,-905.332344,876.82164,745.438112
