site,sunlight
desert,sun
desert,sun
desert,sun
desert,sun
desert,sun
desert,sun
desert,sun
desert,sun
desert,sun
desert,sun
desert,sun
desert,sun
desert,sun
desert,sun
desert,sun
desert,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
mountain,sun
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
desert,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
mountain,partial
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
desert,shade
mountain,shade
mountain,shade
mountain,shade
mountain,shade
mountain,shade
mountain,shade
mountain,shade
mountain,shade
mountain,shade
mountain,shade
mountain,shade
mountain,shade
mountain,shade
mountain,shade
mountain,shade
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,sun
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,partial
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
valley,shade
